td_weight,sub_weight,ratio_weight,silhouette,golden_accuracy,n_comp
2.5,1.0,5.0,0.367057197712606,0.5555555555555556,4
2.5,2.0,5.0,0.3591421748925126,0.5555555555555556,5
2.0,2.0,5.0,0.3457279132397682,0.5555555555555556,5
2.5,2.0,4.0,0.34445676245111717,0.5555555555555556,5
2.5,1.5,5.0,0.337677995653886,0.5555555555555556,5
2.5,1.0,4.0,0.323873454073989,0.5555555555555556,5
2.0,1.0,5.0,0.3234321724002923,0.5555555555555556,5
2.5,1.5,4.0,0.3215279699100187,0.5555555555555556,5
2.0,1.0,4.0,0.3088690613404996,0.5555555555555556,5
2.0,2.0,4.0,0.3008342786205221,0.5555555555555556,6
2.0,1.5,4.0,0.29108781060629035,0.5555555555555556,6
1.5,1.5,2.0,0.22826253901524093,0.5555555555555556,7
1.5,1.0,2.0,0.22753063872316703,0.5555555555555556,7
2.0,1.0,1.0,0.192581616673503,0.5555555555555556,6
1.5,1.0,1.0,0.1644207644066966,0.5555555555555556,7
1.0,1.0,1.0,0.1513975029257973,0.5555555555555556,7
2.5,1.0,3.0,0.31893032579505165,0.4444444444444444,5
2.5,1.5,3.0,0.3146467764019995,0.4444444444444444,6
2.5,2.0,3.0,0.310308144965719,0.4444444444444444,6
1.5,2.0,5.0,0.3076259604357995,0.4444444444444444,5
1.5,1.5,5.0,0.30660012666461123,0.4444444444444444,5
2.5,2.0,2.0,0.3007121870294565,0.4444444444444444,6
2.5,1.0,2.0,0.29688881078056967,0.4444444444444444,6
2.5,1.5,2.0,0.29624849915111634,0.4444444444444444,6
2.5,2.0,1.0,0.29009803850398846,0.4444444444444444,6
2.0,1.5,3.0,0.28256884180482006,0.4444444444444444,6
2.0,1.0,3.0,0.28197938039993453,0.4444444444444444,6
1.5,2.0,4.0,0.2725115006739179,0.4444444444444444,6
1.5,1.5,4.0,0.27103823050880715,0.4444444444444444,6
2.0,1.0,2.0,0.27048847174016627,0.4444444444444444,6
2.0,1.5,2.0,0.2700328920049669,0.4444444444444444,6
2.0,1.5,1.0,0.2686059887894523,0.4444444444444444,6
2.0,2.0,1.0,0.2590277948043689,0.4444444444444444,6
1.5,1.5,3.0,0.24804660378850923,0.4444444444444444,6
2.5,1.0,1.0,0.23555653669594337,0.4444444444444444,6
1.5,2.0,1.0,0.20878988929056477,0.4444444444444444,6
1.5,1.5,1.0,0.1744674581160475,0.4444444444444444,7
1.0,2.0,4.0,0.34887403242032,0.3333333333333333,5
2.0,1.5,5.0,0.3220499751265198,0.3333333333333333,5
2.5,1.5,1.0,0.30394929565552925,0.3333333333333333,6
2.0,2.0,3.0,0.29288896021416383,0.3333333333333333,6
2.0,2.0,2.0,0.2663119711787323,0.3333333333333333,6
1.0,2.0,3.0,0.2621611588495665,0.3333333333333333,6
1.0,2.0,2.0,0.25905021676530404,0.3333333333333333,6
1.0,1.5,2.0,0.24347176204324467,0.3333333333333333,7
1.5,2.0,2.0,0.2376746500564365,0.3333333333333333,7
1.0,2.0,1.0,0.23726027974258992,0.3333333333333333,6
1.0,1.5,1.0,0.1968738165651601,0.3333333333333333,7
1.5,1.0,5.0,0.30362025306229107,0.2222222222222222,5
1.5,1.0,4.0,0.2882477216742453,0.2222222222222222,5
1.5,2.0,3.0,0.2659603292661441,0.2222222222222222,6
1.5,1.0,3.0,0.24682629593143338,0.2222222222222222,6
1.0,1.0,2.0,0.1975640445851424,0.2222222222222222,7
1.0,2.0,5.0,0.39627654867763423,0.1111111111111111,5
1.0,1.0,5.0,0.33004062266036077,0.1111111111111111,4
1.0,1.5,5.0,0.3071266035840414,0.1111111111111111,5
1.0,1.0,4.0,0.3008588277399712,0.1111111111111111,5
1.0,1.5,4.0,0.29927066017252024,0.1111111111111111,5
1.0,1.5,3.0,0.26380493389658494,0.1111111111111111,6
1.0,1.0,3.0,0.26021390174579884,0.1111111111111111,6
